Movies Rated PG-13,,,Movies Rated R,
Star Wars: The Force Awakens,136,,The Passion of the Christ,126
Avengers: Endgame,182,,Deadpool,106
Avatar,162,,American Sniper,132
Black Panther,135,,It,135
Avengers: Infinity War,160,,Deadpool 2,134
Titanic,194,,The Matrix Reloaded,138
Jurassic World,124,,The Hangover,96
Marvelâ€™s The Avengers,143,,The Hangover Part II,102
Star Wars: The Last Jedi,153,,Beverly Hills Cop,105
The Dark Knight,152,,The Exorcist,122
Rogue One: A Star Wars Story,133,,Logan,141
Avengers: Age of Ultron,141,,Ted,106
The Dark Knight Rises,164,,Saving Private Ryan,170
Captain Marvel,125,,A Star is Born,134
The Hunger Games: Catching Fire,146,,300,117
